Benchmark,L2_Size_KB,L2_Assoc,L2_Block_B,IPC,L1_MPKI,L2_MPKI,Total_Instructions,L1_Total_Misses,L2_Total_Misses
433.milc,1024,16,64,0.144215,36.255268704265745,20.18110011750988,38323372041,1389424151,773407808
433.milc,1024,16,128,0.199799,36.25796327404132,12.464719688260901,38323372041,1389527416,477690090
433.milc,1024,16,256,0.240981,36.26983837729458,9.042748942583843,38323372041,1389982510,346548632
433.milc,2048,16,64,0.152986,36.25118787860581,18.59119957496853,38323372041,1389267760,712477458
433.milc,2048,16,128,0.207557,36.25406212985599,11.716643658590836,38323372041,1389377911,449021294
433.milc,2048,16,256,0.245963,36.25241654511101,8.707541942734073,38323372106,1389314849,333702370
444.namd,256,4,64,0.672611,9.887489427841942,0.18723504195286572,60533957115,598528861,11334078
444.namd,256,4,128,0.683377,9.644843942059532,0.10810459591012055,60533957367,583840572,6543999
444.namd,256,4,256,0.688036,9.685489475690899,0.06603470471565676,60533957367,586301007,3997342
444.namd,256,8,64,0.674049,9.827437496778707,0.17815167739912086,60533957117,594893680,10784226
444.namd,256,8,128,0.684263,9.664106915285132,0.09937642046973492,60533957367,585006636,6015648
444.namd,256,8,256,0.688996,9.683424914898211,0.058056767354126786,60533959436,586176051,3514406
444.namd,512,4,64,0.678388,9.683334255618153,0.14884214401141715,60533957367,586170543,9010004
444.namd,512,4,128,0.685914,9.732574565872051,0.0811911386166609,60533958308,589151263,4914821
444.namd,512,4,256,0.689486,9.82800080422045,0.045256497767784856,60533959434,594927802,2739555
444.namd,512,8,64,0.678526,9.653489145733184,0.14943847209731143,60533956705,584363894,9046102
444.namd,512,8,128,0.685016,9.865679039718051,0.08085429999951232,60533960470,597208625,4894431
444.namd,512,8,256,0.689782,9.807953445607936,0.04396889119972409,60533957700,593714239,2661611
444.namd,1024,8,64,0.682427,9.687448762977734,0.11370317379949962,60533956705,586419604,6882903
444.namd,1024,8,128,0.688283,9.740833774674973,0.06062955694283032,60533957117,589651214,3670147
444.namd,1024,8,256,0.691694,9.730894162630545,0.03256185630505497,60533956711,589049526,1971098
444.namd,1024,16,64,0.682445,9.702594877857672,0.11263340756883725,60533958327,587336474,6818146
444.namd,1024,16,128,0.688975,9.660490102875103,0.059611877923405686,60533959434,584787716,3608543
444.namd,1024,16,256,0.690841,9.853762597803891,0.0323313407074049,60533957367,596487245,1957144
444.namd,2048,16,64,0.685055,9.653365704429577,0.09326130729853163,60533957367,584356428,5645476
444.namd,2048,16,128,0.689377,9.781724512079858,0.04894693956566423,60533958329,592126504,2962952
444.namd,2048,16,256,0.692966,9.667016248224003,0.025783842233126412,60533957115,585182747,1560798
450.soplex,256,4,64,0.114903,52.00848414613859,26.271969360986134,7435218933,386694466,195337844
450.soplex,256,4,128,0.174393,52.01955793749889,14.395971983948998,7433901658,386708278,107018240
450.soplex,256,4,256,0.239704,52.029734410894044,8.146001822563019,7435474030,386865739,60569385
450.soplex,256,8,64,0.115064,51.970505924043486,26.22602890811625,7439586591,386639079,195110813
450.soplex,256,8,128,0.1746,51.99722542540188,14.37015109223069,7435382712,386619271,106847573
450.soplex,256,8,256,0.239956,51.99587903703071,8.13082708265383,7438987496,386796694,60485121
450.soplex,512,4,64,0.119384,51.96827519204251,24.968357289706383,7438969286,386590403,185738843
450.soplex,512,4,128,0.18322,51.840346100927974,13.3040503989955,7456343371,386539421,99199568
450.soplex,512,4,256,0.254455,51.92874459567989,7.185693933660351,7444234961,386569776,53491994
450.soplex,512,8,64,0.119463,51.991975732060276,24.94417053189416,7434551843,386537039,185448729
450.soplex,512,8,128,0.183195,51.950130374578976,13.298809267328343,7440906100,386556042,98955191
450.soplex,512,8,256,0.25481,51.985105381691255,7.15956306528613,7436674489,386596307,53243340
450.soplex,1024,8,64,0.128921,51.9920433343109,22.48795915570361,7435715702,386598053,167214071
450.soplex,1024,8,128,0.196206,51.9856552545448,11.84822615798345,7435669342,386548143,88099492
450.soplex,1024,8,256,0.271509,51.83642382522179,6.2049401275536455,7457131906,386551050,46271057
450.soplex,1024,16,64,0.128789,51.98915633130703,22.519812554534923,7436009185,386591844,167457533
450.soplex,1024,16,128,0.196393,51.937652408742515,11.832375478396955,7442470040,386544422,88062100
450.soplex,1024,16,256,0.271202,51.949753834284785,6.213196564341237,7440056583,386509108,46226534
