Benchmark,L2_Size_KB,L2_Assoc,L2_Block_B,IPC,L1_MPKI,L2_MPKI,Total_Instructions,L1_Total_Misses,L2_Total_Misses
403.gcc,256,4,64,0.313009,21.286525512120726,5.956049478783864,3184113911,67778722,18964740
450.soplex,256,4,64,0.114925,51.994443644602704,26.266287618153857,7436630857,386663484,195332685
